"","word","sentiment","n"
"594","gimmick","negative",4
"595","grief","negative",4
"596","idol","positive",4
"597","knife","negative",4
"598","lemon","negative",4
"599","limp","negative",4
"600","loath","negative",4
"601","lurk","negative",4
"602","mawkish","negative",4
"603","misunderstand","negative",4
"604","pest","negative",4
"605","rapid","positive",4
"606","rapport","positive",4
"607","regard","positive",4
"608","robust","positive",4
"609","sham","negative",4
"610","showdown","negative",4
"611","sicken","negative",4
"612","skill","positive",4
"613","spade","negative",4
"614","spook","negative",4
"615","stark","negative",4
"616","stubborn","negative",4
"617","tempt","positive",4
"618","threat","negative",4
"619","threaten","negative",4
"620","toughest","positive",4
"621","trivial","negative",4
"622","wack","negative",4
"623","whine","negative",4
"624","woe","negative",4
"625","wrought","negative",4
"626","berserk","negative",3
"627","bitch","negative",3
"628","blab","negative",3
"629","charisma","positive",3
"630","clueless","negative",3
"631","commend","positive",3
"632","contradict","negative",3
"633","coward","negative",3
"634","daunt","negative",3
"635","dim","negative",3
"636","distract","negative",3
"637","distress","negative",3
"638","drunken","negative",3
"639","earnest","positive",3
"640","engulf","negative",3
"641","err","negative",3
"642","feat","positive",3
"643","fiasco","negative",3
"644","flair","negative",3
"645","gain","positive",3
"646","ghetto","negative",3
"647","glare","negative",3
"648","gloom","negative",3
"649","gorgeous","positive",3
"650","grandeur","positive",3
"651","hamper","negative",3
"652","hazard","negative",3
"653","hiss","negative",3
"654","hottest","positive",3
"655","hysteria","negative",3
"656","infidel","negative",3
"657","inhuman","negative",3
"658","jerk","negative",3
"659","mock","negative",3
"660","morbid","negative",3
"661","needless","negative",3
"662","overdo","negative",3
"663","overreach","negative",3
"664","peach","positive",3
"665","peril","negative",3
"666","poorest","negative",3
"667","prize","positive",3
"668","proven","positive",3
"669","reject","negative",3
"670","rival","negative",3
"671","rotten","negative",3
"672","rumor","negative",3
"673","sap","negative",3
"674","sarcasm","negative",3
"675","scar","negative",3
"676","shrug","negative",3
"677","smack","negative",3
"678","snob","negative",3
"679","solemn","negative",3
"680","stab","negative",3
"681","stale","negative",3
"682","stew","negative",3
"683","stolen","negative",3
"684","straightforward","positive",3
"685","strongest","positive",3
"686","struck","negative",3
"687","stutter","negative",3
"688","taint","negative",3
"689","tamper","negative",3
"690","tank","negative",3
"691","tepid","negative",3
"692","thank","positive",3
"693","tougher","positive",3
"694","toxic","negative",3
"695","turmoil","negative",3
"696","vile","negative",3
"697","villian","negative",3
"698","wane","negative",3
"699","warmer","positive",3
"700","warmth","positive",3
"701","weaker","negative",3
"702","wrath","negative",3
"703","wretch","negative",3
"704","amiss","negative",2
"705","anger","negative",2
"706","authoritarian","negative",2
"707","aweful","negative",2
"708","awful","negative",2
"709","bent","negative",2
"710","bewitch","negative",2
"711","blossom","positive",2
"712","blur","negative",2
"713","brainless","negative",2
"714","brazen","negative",2
"715","brighten","positive",2
"716","brightest","positive",2
"717","cancer","negative",2
"718","choke","negative",2
"719","clear","positive",2
"720","compassion","positive",2
"721","craven","negative",2
"722","daze","negative",2
"723","detest","negative",2
"724","detract","negative",2
"725","dirt","negative",2
"726","disappointment","negative",2
"727","dissent","negative",2
"728","dope","negative",2
"729","downbeat","negative",2
"730","dullard","negative",2
"731","dungeon","negative",2
"732","eager","positive",2
"733","enrich","positive",2
"734","excellent","positive",2
"735","fallout","negative",2
"736","favour","positive",2
"737","flicker","negative",2
"738","flourish","positive",2
"739","friction","negative",2
"740","frozen","negative",2
"741","ftw","positive",2
"742","genial","positive",2
"743","gibberish","negative",2
"744","goof","negative",2
"745","gossip","negative",2
"746","gutter","negative",2
"747","heartless","negative",2
"748","hug","positive",2
"749","hung","negative",2
"750","interrupt","negative",2
"751","jeer","negative",2
"752","keen","positive",2
"753","lifeless","negative",2
"754","lighter","positive",2
